gene,培養時間,glk,agp,yihX,pgm,ptsG,malx,crr,galM,yihR,yeaD,pgi,ascF,chbF,ascB,bglA,bglB,yggF,glpX,fbp,pfkB,pfkA,fbaB,fbaA,tpiA,gapA,pgk,gpmA,ytjc,gpmM,eno,pykF,pykA,ppsA
142,17 h 15 min,26.9268055,25.94704056,25.92060471,27.93276787,25.90603638,30.93178558,23.92280388,26.93750763,33.93732071,28.93573952,24.91501999,31.94260597,32.93439865,29.92787552,29.93130302,32.93325424,30.93302345,27.91683769,26.94055939,27.96256065,25.92004776,23.91347694,24.9355793,27.91869736,23.93156433,23.92649078,23.93529129,27.92930222,27.9397316,25.92449951,23.93586731,25.92700195,25.91616058
143,17 h 30 min,26.93191719,25.93504524,25.90789413,27.9162159,25.89387894,29.9125309,23.92331696,27.9445343,31.93195152,27.91363144,24.91413689,30.94186974,32.92149353,29.92478943,29.92735291,33.93264389,30.93429375,27.9199276,26.94048882,27.95798492,25.9005394,23.91535378,24.93094826,27.92155266,24.93733025,24.93667603,24.94054985,27.93165398,27.92346764,25.92397881,24.93996239,25.93378067,25.93602753
158,19 h 10 min,29.94041634,28.93612289,28.89694786,29.90692329,28.90047836,31.91737366,26.92886162,30.93901634,31.9047699,30.92010498,27.90898323,32.91728592,32.92537689,31.92492104,32.9318924,33.93858719,32.92422104,29.90816307,29.959692,31.96925354,28.86972809,26.91871834,28.94671059,29.91120338,27.9306221,27.92755318,27.93587494,30.92160225,31.90122414,27.92829895,27.9377861,29.93501663,29.94033432
159,19 h 20 min,29.91518402,29.94070053,27.88684845,29.89640617,27.87656784,30.89202118,26.91885376,30.91781616,32.90074539,29.90013123,28.91052818,31.89844894,32.89742661,31.92024422,33.9304657,32.92782593,32.90789413,28.89274406,29.94691086,30.94839478,28.87843323,26.89606094,28.94109917,30.89827728,28.94345093,27.91142654,27.92761612,30.91600418,29.91813278,27.92284584,28.94155884,30.93465805,29.9246273
160,19 h 30 min,28.94719887,28.95485497,28.91761208,29.93182945,28.91753387,30.92880249,25.93625641,29.93712234,30.90870285,29.92632484,26.89813614,30.92143822,32.9202652,30.92019844,31.92102432,31.89958763,29.91371155,28.86263084,28.91729736,29.96754074,26.86489105,25.90532875,27.94528389,29.92956734,26.92486954,26.92053223,25.93749619,28.90361404,29.89676857,26.92870522,26.92674637,28.91212654,28.90689278
161,19 h 40 min,26.91660309,26.94014931,26.89849281,27.93042374,24.88046074,29.91610527,22.9229908,28.9360714,30.89907837,28.91162491,25.91128349,29.92580605,32.92518616,29.93706512,30.94075012,32.92944336,30.9187851,28.88765144,27.94077682,28.96798706,26.87574768,24.92232895,25.93073845,27.91649055,25.93127823,24.91786003,24.93477249,27.9283123,28.9170723,25.93889046,25.93722916,27.92831802,27.95056725
162,19 h 50 min,28.92962265,28.93442535,28.89869118,29.92786407,28.89554214,31.91755867,26.91651535,30.92823219,32.9408493,30.91059303,27.91314697,32.94581985,32.93134689,31.93457031,31.93380356,33.93988419,31.92472649,30.89190483,29.95714188,30.94800758,28.93689919,26.90013885,28.94078255,29.93017197,27.92536545,27.91327286,27.92523766,30.93623734,30.90883446,27.9221077,27.92416763,29.92739105,31.92511368
163,19 h 55 min,28.94942665,27.9270649,27.88930511,29.91632652,27.89429283,30.90392494,25.91460037,29.93481255,31.91118431,29.91752243,26.91358757,31.90962219,34.92943573,30.91277885,31.9274559,32.95798492,32.93267822,29.90352631,28.93493271,30.96367455,27.8951664,25.90397072,27.94876671,29.92911339,26.93531036,26.93366051,26.94122887,29.92964745,30.91401863,26.93614388,26.93888092,28.94388962,30.97198296
164,21 h,29.92139816,29.92988777,28.88243103,29.90850449,28.90955544,30.9294529,27.9444828,30.92798615,30.92572403,30.91495895,27.90898705,31.91606522,31.92036629,30.91302299,31.93175125,31.92198944,31.92451096,29.9028759,29.94366074,31.96687889,28.86988258,27.92455101,28.93204308,29.91032219,27.94047928,27.92887688,27.94208527,30.92952156,29.91571045,28.92439651,26.91680336,30.93808365,29.93091965
165,21 h 10 min,29.92759132,29.93481445,27.90633965,28.89681816,26.88643265,27.9753437,27.93361092,29.92080116,30.91202164,29.9094429,27.91097641,29.90838242,31.91141319,30.93421173,31.92862129,31.92976189,29.9177475,28.86351776,29.92592621,31.95487022,28.85249901,27.92843819,28.92397308,30.91769028,28.91218185,27.93232155,27.93728638,29.92518425,29.93183136,27.93590546,28.92938805,29.91007996,29.92449379
166,21 h 20 min,26.93831825,26.94802284,27.92202377,28.91469955,26.90763664,29.9325695,23.93496895,27.94130898,30.92311287,28.90261078,24.91215324,30.92817116,31.91704178,29.92873192,30.93543816,31.9294796,30.93043327,28.87429047,26.93955803,27.96448135,25.87649345,23.92080116,25.92312241,27.92387199,25.92248154,24.91797066,24.93053436,27.92460632,28.89695168,24.92124748,24.93614388,27.93651009,26.93445969
167,21 h 30 min,28.9023571,28.91934776,28.87806129,30.94131088,28.88359261,31.93273163,26.93082428,29.93640327,29.88427353,29.89095497,27.90299606,31.92661476,31.91087341,30.91980743,31.93166351,31.93329048,30.9299221,28.89616585,29.9443264,28.95526123,27.93496704,26.9061718,27.92744637,29.90358353,27.93169403,27.93863297,27.92438698,30.93205833,29.9016819,26.9232235,27.93561935,29.91827965,29.9314785
